"STTN_ID","STTN_NM","STTN_NM_ENG"
293017071,용현리(효도마을), 
293017064,봉안리, 
286065004,송선1통(장군면 방면), 
186004064,서한이다음2단지, 
286066005,신관사거리, 
286065012,장기산업단지(장군면방면), 
186004373,송강마을아파트, 
293064076,달전리, 
293064139,"가재마을5,8단지", 
293064142,대법원등기정보센터, 
293064143,다정동(장기로), 
293064238,"새뜸마을7,10단지", 
293064240,새롬동커뮤니티센터, 
293064242,"새뜸마을5,8단지", 
293064241,"새뜸마을5,8단지", 
293064149,범지기마을1단지, 
293064151,가재마을11단지, 
293064237,"가온마을4,7단지", 
293064239,새롬동커뮤니티센터, 
293055058,세종고속시외버스터미널, 
293016015,용암삼거리, 
293015056,명학1리, 
293013006,운당1리, 
293019008,금사리, 
293055069,도램마을20단지, 
293001070,욱일아파트, 
293017053,은용1리, 
293019083,신정1리, 
293017046,금암리(사기정골), 
293001007,방축골(갑부농원), 
293018066,송곡보건진료소, 
293016011,쌍류리, 
293016080,성제2리, 
285016013,송내리, 
186004299,유성온천역5번출구, 
293012019,아시아제지기숙사, 
293064055,아름초등학교, 
293064056,범지기마을10단지, 
293012012,금호3리, 
293017043,대교리, 
293001040,신봉초등학교, 
293018047,석곡리입구, 
293013025,고등2리, 
293016023,용암리입구, 
293064023,정부세종청사스포츠센터, 
293064140,고운동커뮤니티센터북측, 
293064098,가락마을22단지, 
293064090,고운고등학교, 
293064091,가락초등학교, 
293064092,가락초등학교, 
293064093,두루중학교, 
293064094,두루중학교, 
293064099,"범지기3,9단지(청소년센터)", 
293064101,범지기마을10단지북측, 
293064089,고운고등학교, 
293064153,복지회관, 
186004042,테크노밸리6단지, 
186004263,대덕고등학교, 
293064401,반곡동(수루배마을), 
293064394,보건복지부 고용노동부, 
293064316,금박골, 
293064333,쌍전리, 
293064395,고등2리, 
293064404,깊은내길, 
187000270,신탄진역, 
293064406,운당교차로, 
293064408,깊은내길, 
293064034,신흥사거리, 
293064036,용암리, 
293064037,용암리, 
293064038,쌍류리입구, 
293064039,쌍류리입구, 
293064040,봉암3리, 
293064041,봉암3리, 
293064043,눌왕리(새터말), 
293064183,방축골, 
293064184,신대2리(의넘어), 
293064185,신대2리(의넘어), 
293064188,삼일아파트, 
293064189,성제삼거리, 
293064191,상교동입구, 
293064192,상교동입구, 
293064193,세종장례식장, 
293064405,동산산업, 
293053008,한솔동(첫마을), 
293053010,한솔동(첫마을), 
293064196,보통1리마을회관, 
293064199,행산1리, 
293064059,범지기마을4단지, 
293064060,가락마을8단지, 
293064062,문화체육관광부, 
293064063,국립세종도서관정문, 
293064065,문화체육관광부(남측), 
293064044,쌍전리, 
293064068,가재마을7단지, 
293064071,가재마을12단지, 
293064072,도램마을1단지, 
293064073,"도램마을14,15단지", 
293064249,봉암리, 
286070006,산성동종점, 
293064260,조치원버스터미널, 
293064254,"법원.검찰청,경찰청", 
293064258,반곡동(수루배마을), 
293064257,반곡동(수루배마을), 
293064275,황용리, 
293064255,국책연구단지, 
293010008,봉안리, 
293010011,금암리(웅대원룸), 
293010012,금암리(어반스테이), 
293010013,금암리(그린원룸), 
293010014,금암리(솔정자), 
293064267,감성리, 
293064271,박산리(작약골), 
293064261,국책연구단지, 
293010015,금암리(사기정골), 
293064268,과학기술정보통신부, 
293064269,과학기술정보통신부, 
293064270,장기초등학교, 
293064282,송용1리마을회관, 
285016028,장산4리, 
285016029,속샘말삼거리, 
293064253,"법원.검찰청,경찰청", 
293064298,부강산업단지입구, 
293064301,부강산업단지, 
293064289,응암리(영모재), 
293064290,응암리(우리종묘), 
293064286,응암리(영모재), 
293064287,응암리(가마골), 
293064284,송용리, 
293064304,갈산1리, 
293064315,새롬고등학교(새뜸마을7단지), 
293064317,다방1리마을회관, 
293064318,쌍류초등학교, 
293064319,쌍류초등학교, 
293064320,신흥리(사사), 
293064321,쌍류리(월정마을), 
293064322,쌍류리(월정마을), 
293064323,용암리(금단마을), 
293064324,고복저수지, 
293064325,고복저수지, 
293064327,용암2리, 
293064328,용암2리, 
293064329,세종첨단산업단지, 
293064330,대교에이스, 
293064356,국민건강보험공단, 
271010111,서평1리, 
293064331,행정리, 
293064264,다정동커뮤니티센터, 
293064370,"가온마을4,7단지", 
293064383,수루배마을1단지, 
293064380,"반곡초,중학교", 
293064363,소담고등학교(새샘마을1단지), 
293064362,소담고등학교(새샘마을5단지), 
293064364,새샘마을6단지, 
293064365,새샘마을6단지, 
293064382,수루배마을1단지, 
293064378,"수루배마을8,9단지", 
293064379,"수루배마을8,9단지", 
293064310,"새뜸마을1,2단지", 
293064263,다정동커뮤니티센터, 
293064307,"가온마을6,9단지", 
293064355,국민건강보험공단, 
293064367,다정중학교(가온마을4단지), 
293064368,새뜸마을14단지, 
293064369,새뜸마을14단지, 
293064372,다정고등학교(가온마을1단지), 
293064373,다정고등학교(가온마을1단지), 
293064376,한결초등학교, 
293064377,한결초등학교, 
293064384,문화체육관광부, 
293064387,소정리, 
293064388,"새뜸마을1,2단지", 
